,Unnamed: 0,Unnamed: 0.1,vehicle_id,vehicle_type,nr_of_stops,stopping_station_ids
143,143,143,IC2128,IC,14,"['008866001', '008866175', '008865003', '008864006', '008864345', '008864501', '008863008', '008861200', '008811601', '008811304', '008811916', '008812005', '008813003', '008814001']"
144,144,144,IC2129,IC,15,"['008200100', '008866001', '008866175', '008865003', '008864006', '008864345', '008864501', '008863008', '008861200', '008811601', '008811304', '008811916', '008812005', '008813003', '008814001']"
145,145,145,IC2130,IC,15,"['008200100', '008866001', '008866175', '008865003', '008864006', '008864345', '008864501', '008863008', '008861200', '008811601', '008811304', '008811916', '008812005', '008813003', '008814001']"
146,146,146,IC2137,IC,15,"['008200100', '008866001', '008866175', '008865003', '008864006', '008864345', '008864501', '008863008', '008861200', '008811601', '008811304', '008811916', '008812005', '008813003', '008814001']"
147,147,147,IC2140,IC,15,"['008200100', '008866001', '008866175', '008865003', '008864006', '008864345', '008864501', '008863008', '008861200', '008811601', '008811304', '008811916', '008812005', '008813003', '008814001']"
148,148,148,IC2141,IC,15,"['008200100', '008866001', '008866175', '008865003', '008864006', '008864345', '008864501', '008863008', '008861200', '008811601', '008811304', '008811916', '008812005', '008813003', '008814001']"
149,149,149,IC2142,IC,15,"['008200100', '008866001', '008866175', '008865003', '008864006', '008864345', '008864501', '008863008', '008861200', '008811601', '008811304', '008811916', '008812005', '008813003', '008814001']"
150,150,150,IC2205,IC,17,"['008892007', '008893013', '008893039', '008893559', '008895067', '008895000', '008895802', '008895836', '008814001', '008813003', '008812005', '008833209', '008831401', '008831005', '008831112', '008831138', '008831310']"
151,151,151,IC2206,IC,17,"['008892007', '008893013', '008893039', '008893559', '008895067', '008895000', '008895802', '008895836', '008814001', '008813003', '008812005', '008833209', '008831401', '008831005', '008831112', '008831138', '008831310']"
152,152,152,IC2207,IC,17,"['008892007', '008893013', '008893039', '008893559', '008895067', '008895000', '008895802', '008895836', '008814001', '008813003', '008812005', '008833209', '008831401', '008831005', '008831112', '008831138', '008831310']"
153,153,153,IC2208,IC,17,"['008892007', '008893013', '008893039', '008893559', '008895067', '008895000', '008895802', '008895836', '008814001', '008813003', '008812005', '008833209', '008831401', '008831005', '008831112', '008831138', '008831310']"
154,154,154,IC2210,IC,17,"['008892007', '008893013', '008893039', '008893559', '008895067', '008895000', '008895802', '008895836', '008814001', '008813003', '008812005', '008833209', '008831401', '008831005', '008831112', '008831138', '008831310']"
